kelas,hari,tanggal,mata_kuliah,waktu
1kb05,Kamis,07 Agustus 2025,Pendidikan Agama Hindu,09.15 - 10.15
1kb05,Kamis,07 Agustus 2025,Pendidikan Agama Islam,09.15 - 10.15
1kb05,Kamis,07 Agustus 2025,Pendidikan Agama Katholik,09.15 - 10.15
1kb05,Kamis,07 Agustus 2025,Pendidikan Agama Kristen,09.15 - 10.15
2kb01,Kamis,31 Juli 2025,Dasar-dasar Telekomunikasi,13.00 - 14.00
2kb01,Jum'at,01 Agustus 2025,Matematika Diskrit 2,09.15 - 10.15
2kb01,Senin,04 Agustus 2025,Elektronika Lanjut,08.00 - 09.00
2kb01,Senin,04 Agustus 2025,Pengolahan Sinyal Digital,10.30 - 11.30
2kb01,Selasa,05 Agustus 2025,Bahasa Inggris Bisnis,10.30 - 11.30
2kb01,Selasa,05 Agustus 2025,Statistika dan Probabilitas Terapan,13.00 - 14.00
2kb02,Kamis,31 Juli 2025,Dasar-dasar Telekomunikasi,13.00 - 14.00
2kb02,Jum'at,01 Agustus 2025,Matematika Diskrit 2,09.15 - 10.15
2kb02,Senin,04 Agustus 2025,Elektronika Lanjut,08.00 - 09.00
2kb02,Senin,04 Agustus 2025,Pengolahan Sinyal Digital,10.30 - 11.30
2kb02,Selasa,05 Agustus 2025,Bahasa Inggris Bisnis,10.30 - 11.30
2kb02,Selasa,05 Agustus 2025,Statistika dan Probabilitas Terapan,13.00 - 14.00
2kb03,Kamis,31 Juli 2025,Dasar-dasar Telekomunikasi,13.00 - 14.00
2kb03,Jum'at,01 Agustus 2025,Matematika Diskrit 2,09.15 - 10.15
2kb03,Senin,04 Agustus 2025,Elektronika Lanjut,08.00 - 09.00
2kb03,Senin,04 Agustus 2025,Pengolahan Sinyal Digital,10.30 - 11.30
2kb03,Selasa,05 Agustus 2025,Bahasa Inggris Bisnis,10.30 - 11.30
2kb03,Selasa,05 Agustus 2025,Statistika dan Probabilitas Terapan,13.00 - 14.00
2kb04,Kamis,31 Juli 2025,Dasar-dasar Telekomunikasi,13.00 - 14.00
2kb04,Jum'at,01 Agustus 2025,Matematika Diskrit 2,09.15 - 10.15
2kb04,Senin,04 Agustus 2025,Elektronika Lanjut,08.00 - 09.00
2kb04,Senin,04 Agustus 2025,Pengolahan Sinyal Digital,10.30 - 11.30
